categoria;dono;tipo;arquivo;emissao;vencimento;status;dias_ate_vencer;caminho;ocr
veiculos;SES9I57;NF_NORDICA;NORDICA 367488.pdf;2024-04-26;2025-04-26;vencido;-445;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I57\vencidos\NORDICA 367488.pdf;N
veiculos;SES9I76;IPEM;AFERIÇÃO TBE6C67.pdf;;2027-03-18;ok;245;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I76\AFERIÇÃO TBE6C67.pdf;S
veiculos;SES9I76;CIPP;CIPP TBE6C67.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I76\sem-data\CIPP TBE6C67.pdf;S
veiculos;SES9I76;CIV;CIV SES-9I76.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I76\sem-data\CIV SES-9I76.pdf;S
veiculos;SES9I76;CRLV;CRLV TBE6C67.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I76\sem-data\CRLV TBE6C67.pdf;S
veiculos;SES9I76;CRLV;CRLV_SES-9I76.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I76\sem-data\CRLV_SES-9I76.pdf;S
veiculos;SES9I77;IPEM;AFERIÇÃO TBE1H61.pdf;;2027-03-13;ok;240;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I77\AFERIÇÃO TBE1H61.pdf;S
veiculos;SES9I77;CIPP;CIPP TBE1H61.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I77\sem-data\CIPP TBE1H61.pdf;S
veiculos;SES9I77;CIV;CIV SES9I77.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I77\sem-data\CIV SES9I77.pdf;S
veiculos;SES9I77;CIV;CIV TBE1H61.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I77\sem-data\CIV TBE1H61.pdf;S
veiculos;SES9I77;OUTROS;COMP. ENDERECO CLAUDINOR--051.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I77\sem-data\COMP. ENDERECO CLAUDINOR--051.pdf;N
veiculos;SES9I77;CRLV;CRLV TBE1H61.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I77\sem-data\CRLV TBE1H61.pdf;S
veiculos;SES9I77;CRLV;CRLV_SES-9I77.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I77\sem-data\CRLV_SES-9I77.pdf;S
veiculos;SES9I77;OUTROS;CTPP TBE1H61.pdf;;2026-01-12;vencido;-184;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I77\vencidos\CTPP TBE1H61.pdf;N
veiculos;SES9I82;IPEM;AFERIÇÃO AMX5181.pdf;;2026-08-07;vencendo_30d;22;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\AFERIÇÃO AMX5181.pdf;S
veiculos;SES9I82;IPEM;AFERIÇÃO AMX5183.pdf;;2026-08-07;vencendo_30d;22;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\AFERIÇÃO AMX5183.pdf;S
veiculos;SES9I82;CIPP;CIPP AMX-5181.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\sem-data\CIPP AMX-5181.pdf;S
veiculos;SES9I82;CIPP;CIPP AMX-5183.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\sem-data\CIPP AMX-5183.pdf;S
veiculos;SES9I82;CIV;CIV AMX5181_2026.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\sem-data\CIV AMX5181_2026.pdf;S
veiculos;SES9I82;CIV;CIV AMX5183_2026.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\sem-data\CIV AMX5183_2026.pdf;S
veiculos;SES9I82;CIV;CIV SES9I82 (2).pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\sem-data\CIV SES9I82 (2).pdf;S
veiculos;SES9I82;CRLV;CRLV_AMX5181.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\sem-data\CRLV_AMX5181.pdf;S
veiculos;SES9I82;CRLV;CRLV_AMX5183.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\sem-data\CRLV_AMX5183.pdf;S
veiculos;SES9I82;CRLV;CRLV_SES-9I82.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\sem-data\CRLV_SES-9I82.pdf;S
veiculos;SES9I82;OUTROS;endereco rogerio.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\sem-data\endereco rogerio.pdf;N
veiculos;SES9I82;OUTROS;PONTUAL BRASIL SES9I82_PARANA[1].pdf;;2025-07-14;vencido;-366;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I82\vencidos\PONTUAL BRASIL SES9I82_PARANA[1].pdf;N
veiculos;SES9I83;IPEM;AFERIÇÃO ASI-3362 -2026.pdf;2026-03-09;2028-03-05;ok;599;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I83\AFERIÇÃO ASI-3362 -2026.pdf;N
veiculos;SES9I83;CIPP;CIPP ASI3362.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I83\sem-data\CIPP ASI3362.pdf;S
veiculos;SES9I83;CIV;CIV ASI3362.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I83\sem-data\CIV ASI3362.pdf;S
veiculos;SES9I83;CIV;CIV SES9I83.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I83\sem-data\CIV SES9I83.pdf;S
veiculos;SES9I83;CRLV;CLRV ASI3362.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I83\sem-data\CLRV ASI3362.pdf;S
veiculos;SES9I83;OUTROS;COMPROVANTE ENDEREÇO VALDECIR.pdf;2025-11-13;2025-12-16;vencido;-211;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I83\vencidos\COMPROVANTE ENDEREÇO VALDECIR.pdf;N
veiculos;SES9I83;CRLV;CRLV_SES-9I83.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I83\sem-data\CRLV_SES-9I83.pdf;S
veiculos;SES9I83;NF_NORDICA;NORDICA 367490.pdf;2024-04-26;2025-04-26;vencido;-445;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SES9I83\vencidos\NORDICA 367490.pdf;N
veiculos;SFL4G35;IPEM;AFERIÇÃO AZO9539.pdf;2025-08-18;2027-07-17;ok;367;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G35\AFERIÇÃO AZO9539.pdf;N
veiculos;SFL4G35;CIPP;CIPP AZO-9539_PONTUAL.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G35\sem-data\CIPP AZO-9539_PONTUAL.pdf;S
veiculos;SFL4G35;CIV;CIV AZO-9539_PONTUAL.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G35\sem-data\CIV AZO-9539_PONTUAL.pdf;S
veiculos;SFL4G35;CIV;CIV SFL4G35_PONTUAL.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G35\sem-data\CIV SFL4G35_PONTUAL.pdf;S
veiculos;SFL4G35;OUTROS;COMPROVANTE RESIDENCIA LUCIO.pdf;2025-09-26;2025-10-25;vencido;-263;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G35\vencidos\COMPROVANTE RESIDENCIA LUCIO.pdf;N
veiculos;SFL4G35;CRLV;CRLV_AZO9539.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G35\sem-data\CRLV_AZO9539.pdf;S
veiculos;SFL4G35;NF_NORDICA;NORDICA 367311.pdf;2024-04-24;2025-04-24;vencido;-447;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G35\vencidos\NORDICA 367311.pdf;N
veiculos;SFL4G35;CRLV;SFL4G35-CRLV.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G35\sem-data\SFL4G35-CRLV.pdf;S
veiculos;SFL4G37;IPEM;AFERIÇÃO AZO9538 (2).pdf;;2027-07-16;ok;365;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G37\AFERIÇÃO AZO9538 (2).pdf;S
veiculos;SFL4G37;CIPP;CIPP AZO-9538_0001.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G37\sem-data\CIPP AZO-9538_0001.pdf;S
veiculos;SFL4G37;CIPP;CIPP AZO9538.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G37\sem-data\CIPP AZO9538.pdf;S
veiculos;SFL4G37;CIV;CIV AZO-9538_0001.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G37\sem-data\CIV AZO-9538_0001.pdf;S
veiculos;SFL4G37;CIV;CIV AZO9538.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G37\sem-data\CIV AZO9538.pdf;S
veiculos;SFL4G37;CIV;CIV SFL4G37.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SFL4G37\sem-data\CIV SFL4G37.pdf;S
